name,moniker,difficulty,equation,n_found_tisr,n_found_pysr
II.15.4,magnetic_potential_energy,easy,neg(v1)*v2*cos(v3),5,5
II.15.5,electric_dipole_energy,easy,neg(v1)*v2*cos(v3),5,5
II.2.42,thermal_conduction,easy,v1*(v2-v3)*v4/v5,5,5
II.27.16,electromagnetic_energy_density,easy,8.854e-12*2.99792458e8*v1^2,5,5
II.27.18,electric_energy_density,easy,8.854e-12*v1^2,5,5
II.3.24,radiated_intensity,easy,v1/(4*3.1415926535897*v2^2),5,5
II.34.11,gyrofrequency,easy,v1*v2*v3/(2*v4),5,3
II.34.2,magnetic_dipole_moment,medium,v1*v2*v3/2,5,2
II.34.29a,bohr_magneton,medium,v1*6.626e-34/(4*3.1415926535897*v2),5,0
II.34.29b,magnetic_zeeman_energy,easy,v1*9.2740100783e-24*v2*v3/(6.626e-34/(2*3.1415926535897)),5,1
II.34.2a,current_loop_field,medium,v1*v2/(2*3.1415926535897*v3),5,5
II.37.1,effective_magnetic_moment,medium,v1*(1+v2)*v3,5,5
II.38.14,shear_modulus,easy,v1/(2*(1+v2)),5,5
II.38.3,elastic_force,easy,v1*v2*v3/v4,5,5
II.4.23,point_charge_potential,easy,v1/(4*3.1415926535897*8.854e-12*v2),5,5
II.6.11,dipole_potential,medium,1/(4*3.1415926535897*8.854e-12)*v1*cos(v2)/v3^2,5,4
II.6.15b,dipole_field_theta,hard,v1/(4*3.1415926535897*8.854e-12)*3*cos(v2)*sin(v2)/v3^3,5,3
II.8.31,energy_density_electric,easy,8.854e-12*v1^2/2,5,5
II.8.7,electrostatic_energy,medium,3/5*v1^2/(4*3.1415926535897*8.854e-12*v2),5,4
III.10.19,total_magnetic_moment,hard,v1*sqrt(v2^2+v3^2+v4^2),5,5
III.12.43,photon_momentum,easy,v1*(6.626e-34/(2*3.1415926535897)),5,0
III.13.18,tunneling_probability,medium,2*v1*v2^2*v3/(6.626e-34/(2*3.1415926535897)),5,4
III.15.14,quantum_kinetic_energy,medium,(6.626e-34/(2*3.1415926535897))^2/(2*v1*v2^2),5,0
III.15.27,fine_structure_wavevector,easy,2*3.1415926535897*v1/(v2*v3),5,5
III.19.51,hydrogen_energy_level,medium,neg(v1)*v2^4/(2*(4*3.1415926535897*8.854e-12)^2*(6.626e-34/(2*3.1415926535897))^2)*(1/v3^2),5,0
III.21.20,lorentz_current,hard,neg(v1)*v2*v3/v4,5,5
III.7.38,electron_spin_splitting,easy,2*v1*v2/(6.626e-34/(2*3.1415926535897)),5,5
III.14.14,diode_current,medium,v1*(exp(v2*v3/(1.380649e-23*v4))-1),4,0
B1,rutherford_scattering,hard,(v1*v2*7.2973525693e-3*1.054571817e-34*2.99792458e8/(4*v3*sin(v4/2)^2))^2,3,0
I.10.7,relativistic_mass,medium,v1/sqrt(1-v2^2/2.99792458e8^2),3,0
II.11.17,polarizable_density,hard,v1*(1+v2*v3*cos(v4)/(1.380649e-23*v5)),3,0
III.8.54,quantum_oscillation,medium,sin(v1*v2/(6.626e-34/(2*3.1415926535897)))^2,3,0
II.13.23,relativistic_charge_density,hard,v1/sqrt(1-v2^2/2.99792458e8^2),2,0
II.13.34,relativistic_current_density,hard,v1*v2/sqrt(1-v2^2/2.99792458e8^2),2,0
II.24.17,wavevector,hard,sqrt(v1^2/2.99792458e8^2-3.1415926535897^2/v2^2),2,1
II.6.15a,dipole_field_z,hard,v1/(4*3.1415926535897*8.854e-12)*3*v2/v3^5*sqrt(v4^2+v5^2),2,0
III.15.12,energy_bandwidth,medium,2*v1*(1-cos(v2*v3)),2,0
B12,charged_plate_potential,hard,v1/(4*3.1415926535897*v2*v3^2)*(4*3.1415926535897*v2*v4*v5-v1*v5*v3^3/(v3^2-v5^2)^2),1,0
B13,electric_potential_dipole,hard,1/(4*3.1415926535897*v1)*v2/sqrt(v3^2+v4^2-2*v3*v4*cos(v5)),1,0
B18,cosmological_density,medium,3/(8*3.1415926535897*6.67430e-11)*(2.99792458e8^2*v1/v2^2+v3^2),1,5
B3,compton_wavelength_shift,hard,v1*(1-v2^2)/(1+v2*cos(v3-v4)),1,0
B8,relativistic_energy_loss,medium,v1/(1+v1/(9.10938356e-31*2.99792458e8^2)*(1-cos(v2))),1,0
I.15.1,relativistic_momentum,medium,v1*v2/sqrt(1-v2^2/2.99792458e8^2),1,0
I.15.3x,lorentz_length,hard,(v1-v2*v3)/sqrt(1-v2^2/2.99792458e8^2),1,0
I.9.18,newton_gravity,hard,6.6743e-11*v1*v2/((v3-v4)^2+(v5-v6)^2+(v7-v8)^2),1,0
II.35.21,magnetization_density,hard,v1*v2*tanh(v2*v3/(1.380649e-23*v4)),1,0
III.17.37,relativistic_beta_factor,medium,v1*(1+v2*cos(v3)),1,0
B10,relativistic_aberration,hard,(cos(v1)-v2/2.99792458e8)/(1-v2/2.99792458e8*cos(v1)),0,1
B14,field_effect_on_dipole,hard,v1*cos(v2)*(neg(v3)+v4^3/v3^2*(v5-1)/(v5+2)),0,0
B15,transverse_doppler_shift,hard,sqrt(1-v1^2/2.99792458e8^2)*v2/(1+v1/2.99792458e8*cos(v3)),0,0
B16,relativistic_hamiltonian,hard,sqrt((v1-v2*v3)^2*2.99792458e8^2+v4^2*2.99792458e8^4)+v2*v5,0,0
B17,quantum_oscillator_energy,hard,1/(2*v1)*(v2^2+v1^2*v3^2*v4^2*(1+v5*v4/v6)),0,0
B19,cosmological_pressure,hard,-1/(8*3.1415926535897*6.67430e-11)*(2.99792458e8^4*v1/v2^2+v3^2*2.99792458e8^2*(1-2*v4)),0,0
B2,gravitational_wave_energy,hard,v1*v2/v3^2*(1+sqrt(1+2*v4*v3^2/(v1*v2^2))*cos(v5-v6)),0,0
B20,thomson_scattering_cross_section,hard,1/(4*3.1415926535897)*7.2973525693e-3^2*6.626e-34^2/(9.10938356e-31^2*2.99792458e8^2)*(v1/v2)^2*(v1/v2+v2/v1-sin(v3)^2),0,0
B7,cosmological_expansion_rate,hard,sqrt(8*3.1415926535897*6.67430e-11*v1/3-v2*2.99792458e8^2/v3^2),0,0
I.15.3t,lorentz_time,hard,(v1-v2*v3/2.99792458e8^2)/sqrt(1-v2^2/2.99792458e8^2),0,0
I.16.6,relativistic_velocity_addition,medium,(v1+v2)/(1+v1*v2/2.99792458e8^2),0,0
I.29.16,law_of_cosines,hard,sqrt(v1^2+v2^2-2*v1*v2*cos(v3-v4)),0,1
I.34.14,relativistic_frequency_shift,hard,(1+v1/2.99792458e8)/sqrt(1-v1^2/2.99792458e8^2)*v2,0,0
I.37.4,interference_intensity,hard,v1+v2+2*sqrt(v1*v2)*cos(v3),0,1
I.41.16,planck_radiation,hard,6.626e-34/(2*3.1415926535897)*v1^3/(3.1415926535897^2*2.99792458e8^2*(exp((6.626e-34/(2*3.1415926535897))*v1/(1.380649e-23*v2))-1)),0,0
I.48.2,relativistic_energy,medium,v1*2.99792458e8^2/sqrt(1-v2^2/2.99792458e8^2),0,0
II.11.27,polarization_field,hard,v1*v2/(1-(v1*v2/3))*8.854e-12*v3,0,0
II.11.28,dielectric_constant,hard,1+v1*v2/(1-(v1*v2/3)),0,0
II.21.32,relativistic_coulomb_potential,medium,v1/(4*3.1415926535897*8.854e-12*v2*(1-v3/2.99792458e8)),0,0
II.35.18,boltzmann_population,hard,v1/(exp(v2*v3/(1.380649e-23*v4))+exp(neg(v2)*v3/(1.380649e-23*v4))),0,0
II.36.38,susceptibility_magnetization,hard,v1*v2/(1.380649e-23*v3)+(v1*v4)/(8.854e-12*2.99792458e8^2*1.380649e-23*v3)*v5,0,0
III.4.32,bose_einstein_distribution,medium,1/(exp((6.626e-34/(2*3.1415926535897))*v1/(1.380649e-23*v2))-1),0,0
III.4.33,planck_energy_distribution,hard,(6.626e-34/(2*3.1415926535897))*v1/(exp((6.626e-34/(2*3.1415926535897))*v1/(1.380649e-23*v2))-1),0,0
